row_number,brand_name,normalized_brand_name,source_file,chunk_id,chunk_index,start_line,end_line,heading,match_type,chunk_text
1,Abecma,Abecma,Copy of 287728-4459856.md,Copy of 287728-4459856::chunk_0038,38,282,294,## Safety [37],nearby_context,"## Safety [37]

- -Overall, medications for MM, by class/mechanism of action, appear to have similar safety profiles (based on indirect comparisons). There is no reliable evidence to allow conclusion that any one medication for MM (by class) is safer or more tolerable that another, given lack of comparative safety data. Common adverse events include:
* IMIDs: Neutropenia, fatigue, anemia, constipation, nausea, diarrhea, dyspnea, upper respiratory tract infections, back pain, and pyrexia. Boxed warnings for embryo -fetal toxicity, venous thromboembolism, and hematologic toxicity. A restricted distribution program (Risk Evaluation and Management Strategy, ""REMS"") is in place to prevent accidental fetal exposure. Doses may be modified for hematologic toxicity.
* Proteosome inhibitors: gastrointestinal toxicity, thrombocytopenia, and peripheral neuropathy; severe: cardiac toxicity.
* Monoclonal antibodies: infusion -related reactions, neutropenia, upper respiratory tract infections, and diarrhea. Premedication with antihistamines, antipyretics, and corticosteroids is recommended. Of note: The safety of Darzalex Faspro (daratumumab and hyaluronidase -fihj) parallels that of the intravenous product.
* Alkylating Agents: bone marrow suppression (including anemia, leukopenia, lymphocytopenia, neutropenia, and thrombocytopenia), gastrointestinal toxicity (including nausea and vomiting), renal toxicity, fatigue. Boxed warnings for severe marrow suppression leading to infection or bleeding, hypersensitivity reactions (including anaphylaxis), and potential secondary malignancy.

- -Overall tolerability of some medications for MM may limit utility:
* HDAC inhibitor Farydak (panobinostat): labeling contains a boxed warning for severe diarrhea (25% severe), and cardiac toxicity, including severe and fatal cardiac ischemic events, as well as severe arrhythmias. Therapy should be interrupted at the onset of moderate diarrhea (4 to 6 stools per day). Other serious toxicities include hemorrhage, hepatotoxicity, and embryo -fetal toxicity. Electrolyte abnormalities are also common. [13]
* Tecvayli (teclistamab-cqyv): labeling contains a boxed warning for cytokine release syndrome (CRS) and neurological toxicity, including Immune Effector Cell -Associated Neurotoxicity Syndrome (ICANS). Use is restricted through the Tecvayli Risk Evaluation and Mitigation Strategy (REMS). [47 -49]
* Xpovio (selinexor): is associated with significant toxicity, need for dose modifications, and treatment -related deaths (see Xpovio policy for details) . [39 -42]"
1,Abecma,Abecma,Copy of 287728-4459856.md,Copy of 287728-4459856::chunk_0039,39,295,302,## Safety [37],matched:Abecma,"| Appendix 1: Classification of Medications used for Multiple Myeloma                                       | Appendix 1: Classification of Medications used for Multiple Myeloma             | Appendix 1: Classification of Medications used for Multiple Myeloma                                                  |
|-----------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------|
| Chemotherapy                                                                                              | Immunomodulators  (IMIDs)                                                       | Proteosome Inhibitors (PIs)                                                                                          |
| -  cyclophosphamide -  doxorubicin -  Doxil (liposomal  doxorubicin) -  melphalan HCl (generic,  Evomela) | -  Revlimid (lenalidomide) -  Pomalyst (pomalidomide) -  Thalomid (thalidomide) | -  bortezomib (generic Velcade) -  Kyprolis (carfilzomib) -  Ninlaro (ixazomib)                                      |
| Exportin 1 inhibitor                                                                                      | Anti-BCMA therapy                                                               | Monoclonal Antibodies (mAbs)                                                                                         |
| -  Xpovio (selinexor)                                                                                     | -  Abecma (idecabtagene  vicleucel) -  Carvykti (ciltacabtagene  autoleucel) -  Elrexfio (elranatamab  bcmm) -  Tecvayli (teclistamab-cqyv)                                                                                 | -  Anti - CD38 -  Darzalex (daratumumab) -  Sarclisa (isatuximab - irfc)  -  Anti - SLAMF7 -  Empliciti (elotuzumab) |
| GPRC5D - Directed therapy                                                                                 |                                                                                 |                                                                                                                      |
| -  Talvey (talquetamab-tgvs)                                                                              | -                                                                               | -                                                                                                                    |"
1,Abecma,Abecma,Copy of 287728-4459856.md,Copy of 287728-4459856::chunk_0040,40,303,303,## Safety [37],nearby_context,
1,Abecma,Abecma,Copy of 287728-4459856.md,Copy of 287728-4459856::chunk_0048,48,397,398,## Revision History,nearby_context,## Revision History
1,Abecma,Abecma,Copy of 287728-4459856.md,Copy of 287728-4459856::chunk_0049,49,399,406,## Revision History,matched:Abecma,"| Revision Date         | Revision Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|-----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 6/20/2024             | No criteria changes with this annual review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 3/21/2024             | No criteria changes with this annual review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 12/7/2023             | Coverage for Elrexfio (elranatamab - bcmm) was added to the policy when used as a  monotherapy for patients with MM who have had at least four prior MM regimens  which must have included an anti - CD38 mAb, a proteosome inhibitor, and an  immunomodulatory agent when there has been no prior therapy with therapy  directed against BCMA. Coverage for Talvey (talquetamab - tgvs) was added to the policy when used as a  monotherapy for patients with MM who have had at least four prior MM regimens  which must have included an anti - CD38 mAb, a proteosome inhibitor, and an |
| 3/16/2023             | •  Blenrep (belantamab mafodotin) was removed from the policy because the  manufacturer has ceased marketing of this product in the U.S. •  Coverage for Tecvayli (teclistamab - cqyv) was added to the policy when used as a                                                                                                                                                                                                                                                                                                                                                               |
| 6/17/2022             | regimens which must have included an anti - CD38 mAb, a proteosome inhibitor,  and an immunomodulatory agent when there has been no prior therapy with  therapy directed against BCMA. Effective 9/1/2022: •  Farydak (panobinostat) was removed from this policy because the manufacturer  has ceased marketing of this product in the US. •  Pepaxto (melphalan flufenamide) removed from policy due to withdrawal from  the market.                                                                                                                                                      |
| 10/15/2021  7/16/2021 | there was no change to the intent of this policy. Pepaxto (melphalan flufenamide) changed to investigational for all indications due  to a safety signal that indicates numerically higher incidence of death with  melphalan flufenamide versus standard of care. New combination policy (effective 10/1/2021):  •  The individual Multiple Myeloma policies were combined, with the exception of  selinexor (Xpovio, dru607) and idecabtagene vicleucel (Abecma; a newer CAR - T                                                                                                          |"
1,Abecma,Abecma,Copy of 287728-4459856.md,Copy of 287728-4459856::chunk_0050,50,407,407,## Revision History,nearby_context,
2,ABILIFY,Abilify,Copy of 308650-4595103.md,Copy of 308650-4595103::chunk_0058,58,253,253,## Prior Authorization Criteria,nearby_context,
2,ABILIFY,Abilify,Copy of 308650-4595103.md,Copy of 308650-4595103::chunk_0059,59,254,255,## Aripiprazole (ABILIFY),matched:ABILIFY;matched:Abilify,## Aripiprazole (ABILIFY)
2,ABILIFY,Abilify,Copy of 308650-4595103.md,Copy of 308650-4595103::chunk_0060,60,256,259,## Products Affected,nearby_context,"## Products Affected

- ARIPIPRAZOLE"
3,Abraxane,Abraxane,Copy of 283789-5060638.md,Copy of 283789-5060638::chunk_0001,1,1,304,,matched:Abraxane,"2025 CARE MAPD Prior Authorization Criteria
Abraxane
Products Affected
• paclitaxel protein-bound part
PA Criteria Criteria Details
Exclusion
Criteria
Required Individual has the applicable mutations based on use/diagnosis.
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 Year.
Duration
Other Criteria For melanoma, individual is using as a single agent, second
line/subsequent tx and Eastern Cooperative Oncology Group
(ECOG) performance status of 0-2. For NSCLC, individual has
current ECOG performance status of 0-2.
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
1
Actimmune
Products Affected
• ACTIMMUNE
PA Criteria Criteria Details
Exclusion
Criteria
Required
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 year
Duration
Other Criteria
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
2
Adapaline Agents
Products Affected
• adapalene external gel 0.3 %
PA Criteria Criteria Details
Exclusion
Criteria
Required
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 Year.
Duration
Other Criteria
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
3
Adempas
Products Affected
• ADEMPAS
PA Criteria Criteria Details
Exclusion
Criteria
Required For Pulmonary Arterial Hypertension, individual has a right heart
Medical catheterization showing all of the following: (a) Mean pulmonary
Information artery pressure (mPAP) greater than or equal to 25 mm Hg at rest
(b) Pulmonary capillary wedge pressure (PCWP), mean pulmonary
artery wedge pressure (PAWP), left atrial pressure, or left
ventricular end-diastolic pressure (LVEDP) less than or equal to 15
mm Hg (c) Pulmonary vascular resistance (PVR) greater than 3
Wood units. AND Individual has WHO functional class II- IV
symptoms. For CTEPH a right-heart catheterization showing a
mPAP greater than 25 mm Hg caused by thromboemboli in the
pulmonary arterial system (ACCF/AHA 2009).
Age
Restrictions
Prescriber
Restrictions
Coverage 1 Year.
Duration
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
4
PA Criteria Criteria Details
Other Criteria For Initial use, for diagnosis of pulmonary arterial hypertension
(PAH), WHO Group 1 AND has WHO functional class II-IV
symptoms. For diagnosis of chronic thromboembolic pulmonary
hypertension (CTEPH), WHO Group 4 AND has WHO functional
class II-IV symptoms AND using for one of the following: Persistent
or recurrent pulmonary hypertension after at least 180 days
following surgical treatment with pulmonary endarterectomey OR
Inoperable (via pulmonary endarterectomey) CTEPH. For
continued use, there is clinically significant improvement or
stabilization in clinical signs and symptoms of disease (including
but not limited to improvement in walk distance, dyspnea and/or
functional class).
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
5
AED Agents
Products Affected
• DILANTIN INFATABS TABLET THERAPY PACK 100 & 150
• DILANTIN ORAL CAPSULE MG
• EPRONTIA • XCOPRI (350 MG DAILY DOSE)
• FYCOMPA ORAL SUSPENSION • XCOPRI ORAL TABLET 100 MG, 150
• FYCOMPA ORAL TABLET MG, 200 MG, 25 MG, 50 MG
• SPRITAM ORAL TABLET • XCOPRI ORAL TABLET THERAPY
DISINTEGRATING SOLUBLE 1000 MG, PACK
250 MG, 500 MG, 750 MG • ZONISADE
• XCOPRI (250 MG DAILY DOSE) ORAL
PA Criteria Criteria Details
Exclusion
Criteria
Required Diagnosis
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 Year.
Duration
Other Criteria Individual has had a trial of and inadequate response or intolerance
to ONE of the following preferred agents: Carbamazepine,
Clonazepam/ODT, Clorazepate, Diazepam, Divalproex,
Ethosuximide, Felbamate, Gabapentin, Lacosamide, Lamotrigine
IR, Levetiracetam IR, Oxcarbazepine, Phenytoin, Primidone,
Tiagabine, Topiramate IR, Valproate sodium, Valproic acid,
Zonisamide OR the preferred agent is not FDA-approved for the
prescribed indication.
Indications All Medically-accepted Indications.
Off Label Uses
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
6
PA Criteria Criteria Details
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
7
AFINITOR
Products Affected
• everolimus oral tablet 10 mg, 2.5 mg, 5
mg, 7.5 mg
• everolimus oral tablet soluble
PA Criteria Criteria Details
Exclusion
Criteria
Required
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 year
Duration
Other Criteria
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
8
Aimovig
Products Affected
• AIMOVIG SUBCUTANEOUS
SOLUTION AUTO-INJECTOR 140
MG/ML, 70 MG/ML
PA Criteria Criteria Details
Exclusion
Criteria
Required Episodic migraine defined as at least 4 and fewer than 15 migraine
Medical days per month and fewer than 15 headache days per month on
Information average during the previous 3-month period. Chronic migraine
defined as a headache occurring on 15 or more days per month for
more than 3 months, which, on at least 8 days per month, has
features of a migraine headache (ICHD-3 beta).
Age
Restrictions
Prescriber
Restrictions
Coverage Initial: 3 months. Continuation: 1 year
Duration
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
9
PA Criteria Criteria Details
Other Criteria For initial requests: (I) Individual has a diagnosis of one of the
following: (a) Episodic migraine OR (b) Chronic migraine AND (II)
Individual is using for migraine prophylaxis. And (III) If individual is
also currently using botulinum toxin for prophylaxis and is going to
be using Aimovig and botulinum toxin together (i.e., not switching
from one agent to another), the following will apply: (a) Individual
has had a reduction in the overall number of migraine days or
reduction in number of severe migraine days per month with the
initial agent AND (b) Individual continues to experience a significant
number of migraine headache days or severe migraine days per
month requiring additional therapy for migraine prevention. For
Renewal requests: (I) Individual has a reduction in the overall
number of migraine days or reduction of severe migraine days per
month AND (II) Individual has obtained clinical benefit deemed
significant by individual or prescriber including any of the following
(AHS 2019): (a) 50% reduction in frequency of days with headache
or migraine OR (b) Significant decrease in attack duration OR (c)
Significant decrease in attack severity OR (d) Improved response
to acute treatment OR (e) Reduction in migraine-related disability
and improvements in functioning in important areas of life OR (f)
Improvements in health related quality of life and reduction in
psychological stress due to migraine. AND If individual is using
concurrently with botulinum toxin for migraine prophylaxis, the
following will apply: Individual has had further reduction in the
overall number of migraine days or reduction in number of severe
migraine days per month compared to monotherapy with the initial
agent (either botulinum toxin or CGRP).
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
10
Akeega
Products Affected
• AKEEGA
PA Criteria Criteria Details
Exclusion
Criteria
Required For mCRPC, BRCA-mutation status.
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 Year.
Duration
Other Criteria Individual meets one of the following: (A) Individual is concomitantly
receiving a gonadotropin-releasing hormone (GnRH) analog (e.g.
Lupron (leuprolide), Zoladex (goserelin), Trelstar (triptorelin),
Vantas (histrelin), Firmagon (degarelix) OR (B) Has had a bilateral
orchiectomy.
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
11
Alecensa
Products Affected
• ALECENSA
PA Criteria Criteria Details
Exclusion
Criteria
Required
Medical
Information
Age
Restrictions
Prescriber
Restrictions
Coverage 1 year
Duration
Other Criteria
Indications All Medically-accepted Indications.
Off Label Uses
Part B No
Prerequisite
Y0114_25_3012943_0000_I_C EFFECTIVE DATE 09/01/2025
1074448MUMENMUB
12
Alpha1-Proteinase Inhibitor
Products Affected
• PROLASTIN-C INTRAVENOUS
SOLUTION
PA Criteria Criteria Details
Exclusion
Criteria
Required For Initial use, verified alpha-1 antitrypsin level is less than or equal
Medical to 11micro-mol/L (approximately equivalent to 80mg/dL measured
Information by radial immunodiffusion or 57 mg/dL measured by nephelometry)"
