target_brand,status,matched_variants,matched_count,source_files
Acitretin,present,Acitretin,2,Copy of 195158-4643510.md
Amjevita,present,Amjevita,1,Copy of 247339-4770410.md
Avsola,present,Avsola,1,Copy of 258492-5030356.md
Bimzelx,present,Bimzelx,1,Copy of 247339-4770410.md
Cimzia,present,Cimzia,1,Copy of 247339-4770410.md
Cosentyx,present,Cosentyx,2,Copy of 195239-4641478.md
Cyclosporine,present,Cyclosporine,2,Copy of 215824-5041653.md
Cyltezo,present,Cyltezo,1,Copy of 247339-4770410.md
Enbrel,present,Enbrel,2,Copy of 195158-4643510.md
Hulio,present,Hulio,1,Copy of 247339-4770410.md
Humira,present,Humira,2,Copy of 195158-4643510.md
Hyrimoz,present,Hyrimoz,1,Copy of 247339-4770410.md
Idacio,present,Idacio,1,Copy of 247339-4770410.md
Ilumya,present,Ilumya,1,Copy of 247339-4770410.md
Inflectra,present,Inflectra,2,Copy of 195239-4641478.md
Methotrexate,present,Methotrexate,2,Copy of 215824-5041653.md
Otezla,present,Otezla,2,Copy of 195239-4641478.md
Otulfi,present,Otulfi,1,Copy of 203402-5001149.md
Psychiva / Quallent,present,Quallent,5,Copy of 296792-5001283.md; Copy of 324603-4962713.md; Copy of 330107-4979411.md; Copy of 378692-5003182.md; Copy of 379899-5030421.md
Remicade,present,Remicade,1,Copy of 258492-5030356.md
Renflexis,present,Renflexis,2,Copy of 195239-4641478.md
Selarsdi,present,Selarsdi,1,Copy of 330107-4979411.md
Siliq,present,Siliq,1,Copy of 247339-4770410.md
Skyrizi,present,Skyrizi,2,Copy of 195239-4641478.md
Sotyktu,present,Sotyktu,1,Copy of 247339-4770410.md
Stelara,present,Stelara,2,Copy of 195158-4643510.md
Steqeyma,present,Steqeyma,1,Copy of 330107-4979411.md
Taltz,present,Taltz,1,Copy of 247339-4770410.md
Tremfya,present,Tremfya,2,Copy of 195239-4641478.md
Vtama,missing,,0,
Wezlana,present,Wezlana,1,Copy of 247339-4770410.md
Yesintek,present,Yesintek,1,Copy of 258492-5030356.md
Yuflyma,present,Yuflyma,1,Copy of 247339-4770410.md
Yusimry,present,Yusimry,1,Copy of 203402-5001149.md
Zoryve,present,Zoryve,1,Copy of 298309-4972610.md
Pyzchiva,present,Pyzchiva,2,Copy of 247339-4770410.md
Imuldosa,present,Imuldosa,2,Copy of 203402-5001149.md
Quallent,present,Quallent,5,Copy of 296792-5001283.md; Copy of 324603-4962713.md; Copy of 330107-4979411.md; Copy of 378692-5003182.md; Copy of 379899-5030421.md
