brand_name,normalized_brand_name,source_file,confidence,evidence,notes
Abecma,Abecma,Copy of 287728-4459856.md,1.0,,
ABILIFY,Abilify,Copy of 308650-4595103.md,1.0,,
Abraxane,Abraxane,Copy of 283789-5060638.md,1.0,,
Abrilada,Abrilada,Copy of 247339-4770410.md,1.0,,
ACCUTANE,ACCUTANE,Copy of 195158-4643510.md,1.0,,
ACITRETIN,Acitretin,Copy of 195158-4643510.md,1.0,,
Actemra,Actemra,Copy of 247339-4770410.md,1.0,,
ACTIMMUNE,Actimmune,Copy of 195158-4643510.md,1.0,,
ADEMPAS,Adempas,Copy of 195239-4641478.md,1.0,,
AIMOVIG,AIMOVIG,Copy of 195239-4641478.md,1.0,,
Alecensa,Alecensa,Copy of 195158-4643510.md,1.0,,
Alunbrig,Alunbrig,Copy of 195158-4643510.md,1.0,,
ALVAIZ,ALVAIZ,Copy of 195239-4641478.md,1.0,,
ALYGLO,ALYGLO,Copy of 195158-4643510.md,1.0,,
ALYQ,ALYQ,Copy of 195158-4643510.md,1.0,,
Amjevita,Amjevita,Copy of 247339-4770410.md,1.0,,
AMNESTEEM,AMNESTEEM,Copy of 195158-4643510.md,1.0,,
Aptiom,Aptiom,Copy of 195158-4643510.md,1.0,,
ARCALYST,ARCALYST,Copy of 195158-4643510.md,1.0,,
AREDIA,AREDIA,Copy of 195239-4641478.md,1.0,,
ARIKAYCE,ARIKAYCE,Copy of 195239-4641478.md,1.0,,
AUSTEDO,AUSTEDO,Copy of 195239-4641478.md,1.0,,
Avsola,Avsola,Copy of 258492-5030356.md,1.0,,
BAFIERTAM,BAFIERTAM,Copy of 195158-4643510.md,1.0,,
BELBUCA,BELBUCA,Copy of 308650-4595103.md,1.0,,
BENLYSTA,BENLYSTA,Copy of 195239-4641478.md,1.0,,
BERINERT,BERINERT,Copy of 308650-4595103.md,1.0,,
Beyfortus,Beyfortus,Copy of 195239-4641478.md,1.0,,
Bimzelx,Bimzelx,Copy of 247339-4770410.md,1.0,,
Blenrep,Blenrep,Copy of 287728-4459856.md,1.0,,
BRONCHITOL,BRONCHITOL,Copy of 195239-4641478.md,1.0,,
BRUKINSA,BRUKINSA,Copy of 195158-4643510.md,1.0,,
BUROSUMAB-TWZA,BUROSUMAB-TWZA,Copy of 195239-4641478.md,1.0,,
BUTRANS,BUTRANS,Copy of 308650-4595103.md,1.0,,
BYLVAY,BYLVAY,Copy of 195239-4641478.md,1.0,,
CABOMETYX,CABOMETYX,Copy of 195158-4643510.md,1.0,,
CALCITRENE,CALCITRENE,Copy of 195158-4643510.md,1.0,,
CALQUENCE,CALQUENCE,Copy of 195158-4643510.md,1.0,,
Caplyta,Caplyta,Copy of 195158-4643510.md,1.0,,
CAPRELSA,CAPRELSA,Copy of 195158-4643510.md,1.0,,
CARBAGLU,CARBAGLU,Copy of 195158-4643510.md,1.0,,
CAYSTON,CAYSTON,Copy of 195158-4643510.md,1.0,,
CERDELGA,CERDELGA,Copy of 195158-4643510.md,1.0,,
